model,model_family,dataset,attack,range_name,start_qf,end_qf,schedule,generations,qfs,clean_accuracy,clean_correct,no_defense_asr,no_defense_successes,asr,ci_low,ci_high,successes,total
cifar_resnet18,standard_cifar,cifar10,fgsm,R1,75,50,geometric,3,"75,65,50",0.650390625,333,1.0,333,0.7897897897897898,0.7428467054029859,0.8301231441983865,263,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R1,75,50,geometric,5,"75,70,65,58,50",0.650390625,333,1.0,333,0.8048048048048048,0.7588594317204769,0.8437979748550599,268,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R1,75,50,arithmetic,3,"75,63,50",0.650390625,333,1.0,333,0.7987987987987988,0.7524434198359821,0.8383389639498889,266,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R1,75,50,arithmetic,5,"75,69,63,56,50",0.650390625,333,1.0,333,0.7987987987987988,0.7524434198359821,0.8383389639498889,266,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R1,75,50,fixed,3,"62,62,62",0.650390625,333,1.0,333,0.7597597597597597,0.7110769813544506,0.8025177542985931,253,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R1,75,50,fixed,5,"62,62,62,62,62",0.650390625,333,1.0,333,0.7567567567567568,0.7079173792646796,0.7997398449935313,252,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R1,75,50,front_loaded,3,"50,65,75",0.650390625,333,1.0,333,0.6906906906906907,0.6391082774936585,0.737923696078229,230,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R1,75,50,front_loaded,5,"50,58,65,70,75",0.650390625,333,1.0,333,0.6966966966966966,0.6453119638992038,0.7435950324623495,232,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R2,85,55,geometric,3,"85,74,55",0.650390625,333,1.0,333,0.8588588588588588,0.8173605806836092,0.8921720309989193,286,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R2,85,55,geometric,5,"85,80,74,66,55",0.650390625,333,1.0,333,0.8738738738738738,0.8339008617576874,0.9053193068990056,291,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R2,85,55,arithmetic,3,"85,70,55",0.650390625,333,1.0,333,0.8078078078078078,0.7620730825752747,0.846521835395095,269,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R2,85,55,arithmetic,5,"85,78,70,63,55",0.650390625,333,1.0,333,0.8738738738738738,0.8339008617576874,0.9053193068990056,291,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R2,85,55,fixed,3,"70,70,70",0.650390625,333,1.0,333,0.7747747747747747,0.7269212876066691,0.8163610050205389,258,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R2,85,55,fixed,5,"70,70,70,70,70",0.650390625,333,1.0,333,0.7777777777777778,0.7300996994031996,0.8191201046188414,259,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R2,85,55,front_loaded,3,"55,74,85",0.650390625,333,1.0,333,0.7477477477477478,0.6984564012451231,0.7913882888285892,249,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R2,85,55,front_loaded,5,"55,66,74,80,85",0.650390625,333,1.0,333,0.7027027027027027,0.6515254217809828,0.7492565973702364,234,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R3,90,60,geometric,3,"90,80,60",0.650390625,333,1.0,333,0.7927927927927928,0.74604204787749,0.8328653131187155,264,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R3,90,60,geometric,5,"90,86,80,72,60",0.650390625,333,1.0,333,0.8858858858858859,0.8472468736586672,0.9157233405773574,295,333
cifar_resnet18,standard_cifar,cifar10,fgsm,R3,90,60,arithmetic,3,"90,75,60",0.650390625,333,1.0,333,0.7807807807807807,0.733281398585065,0.8218759168318087,260,333
