model,model_family,dataset,attack,range_name,start_qf,end_qf,schedule,generations,qfs,clean_accuracy,clean_correct,no_defense_asr,no_defense_successes,asr,ci_low,ci_high,successes,total
cifar_resnet18,standard_cifar,cifar10,fgsm,R1,75,50,fixed,5,"62,62,62,62,62",0.646,6460,0.9969040247678018,6440,0.7538699690402477,0.7432169473108603,0.7642212410939688,4870,6460
cifar_resnet18,standard_cifar,cifar10,fgsm,R1,75,50,front_loaded,5,"50,58,65,70,75",0.646,6460,0.9969040247678018,6440,0.656656346749226,0.6449874629893372,0.6681390288799841,4242,6460
cifar_resnet18,standard_cifar,cifar10,fgsm,R2,85,55,fixed,5,"70,70,70,70,70",0.646,6460,0.9969040247678018,6440,0.7921052631578948,0.7820374169853224,0.8018259132097463,5117,6460
cifar_resnet18,standard_cifar,cifar10,fgsm,R2,85,55,front_loaded,5,"55,66,74,80,85",0.646,6460,0.9969040247678018,6440,0.6557275541795665,0.6440517813417294,0.667218229350501,4236,6460
cifar_resnet18,standard_cifar,cifar10,fgsm,R3,90,60,fixed,5,"75,75,75,75,75",0.646,6460,0.9969040247678018,6440,0.81656346749226,0.8069384860604816,0.825812181797979,5275,6460
cifar_resnet18,standard_cifar,cifar10,fgsm,R3,90,60,front_loaded,5,"60,72,80,86,90",0.646,6460,0.9969040247678018,6440,0.6670278637770898,0.6554392643238153,0.6784179340230203,4309,6460
cifar_resnet18,standard_cifar,cifar10,pgd,R1,75,50,fixed,5,"62,62,62,62,62",0.646,6460,1.0,6460,0.7729102167182662,0.7625334390892082,0.782962613445983,4993,6460
cifar_resnet18,standard_cifar,cifar10,pgd,R1,75,50,front_loaded,5,"50,58,65,70,75",0.646,6460,1.0,6460,0.6221362229102168,0.6102435331488618,0.6338837416385835,4019,6460
cifar_resnet18,standard_cifar,cifar10,pgd,R2,85,55,fixed,5,"70,70,70,70,70",0.646,6460,1.0,6460,0.8207430340557276,0.8111997686480256,0.8299050645073439,5302,6460
cifar_resnet18,standard_cifar,cifar10,pgd,R2,85,55,front_loaded,5,"55,66,74,80,85",0.646,6460,1.0,6460,0.6244582043343653,0.6125785293173223,0.6361899484128499,4034,6460
cifar_resnet18,standard_cifar,cifar10,pgd,R3,90,60,fixed,5,"75,75,75,75,75",0.646,6460,1.0,6460,0.8547987616099071,0.8459967669069342,0.8631790427417659,5522,6460
cifar_resnet18,standard_cifar,cifar10,pgd,R3,90,60,front_loaded,5,"60,72,80,86,90",0.646,6460,1.0,6460,0.6404024767801858,0.6286200384338062,0.6520180328364256,4137,6460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R1,75,50,fixed,5,"62,62,62,62,62",0.8703,8703,0.29426634493852694,2561,0.29978168447661724,0.290246026684298,0.3094940149275279,2609,8703
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R1,75,50,front_loaded,5,"50,58,65,70,75",0.8703,8703,0.29426634493852694,2561,0.30690566471331726,0.29730287886632306,0.31667883701813815,2671,8703
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R2,85,55,fixed,5,"70,70,70,70,70",0.8703,8703,0.29426634493852694,2561,0.2964495001723544,0.28694618829218815,0.30613242503082466,2580,8703
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R2,85,55,front_loaded,5,"55,66,74,80,85",0.8703,8703,0.29426634493852694,2561,0.30380328622314146,0.2942293966821478,0.3135502997610045,2644,8703
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R3,90,60,fixed,5,"75,75,75,75,75",0.8703,8703,0.29426634493852694,2561,0.2984028495920947,0.28888050249421676,0.3081030860325831,2597,8703
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R3,90,60,front_loaded,5,"60,72,80,86,90",0.8703,8703,0.29426634493852694,2561,0.30311386878088015,0.29354647100667525,0.31285499889396395,2638,8703
